pmid,Intervention,labels,detail
30580268,"[""Multimodal 'prehabilitation' intervention"", '15-week preoperative exercise programme', 'Psychological coaching', 'Nutritional support', 'Standard care']","['Physical', 'Physical', 'Psychological', 'Physical', 'Control']","{""Multimodal 'prehabilitation' intervention"": [{'exercise_activity_type': 'twice weekly 1-hour exercise sessions'}], '15-week preoperative exercise programme': [{'exercise_activity_type': '30 sessions in total'}]}"
30578205,"['Mobile game play group (game group)', 'Conventional education group (control group)']","['Educational', 'Control']",{}
30575560,['neoadjuvant pazopanib 800 mg versus placebo daily for 4 weeks'],['Drug'],{}
30572939,"['Total mesorectal excision', 'preoperative concurrent chemoradiotherapy']","['Surgical', 'Drug']",{'preoperative concurrent chemoradiotherapy (CCRT)': [{'dosage': 'oxaliplatin at 100 mg/m2 on Day 1 and capecitabine at 1000 mg/m2 twice daily on Days 1–14 with an interval of 7 days with a concurrent total dose of 50 Gy radiotherapy.'}]}
30572473,"['Nerve electrical stimulation (NES)', 'Sham NES']","['Physical', 'Control']",{}
30568294,"['PF-05280014 (a trastuzumab biosimilar) with paclitaxel', 'trastuzumab', 'paclitaxel']","['Drug', 'drug', 'drug']",{}
30564933,"['Oncokompas, a web-based self-management application']",['Educational'],{}
30563829,['Rapamycin (mTORC1 inhibitor) at 3 mg orally daily'],['Drug'],{}
30558053,"['Apatinib (500\u200amg/day)', 'Observation (control group)']","['Drug', 'Control']",{}
30554073,"['cetuximab-based treatment', 'bevacizumab-based treatment']","['Drug', 'Drug']",{}
30552595,"['home-based reflexology intervention', 'four weekly reflexology sessions (each lasting 30 min)', 'training sessions', 'attention control']","['Physical', 'Physical', 'educational', 'Control']","{'home-based reflexology intervention': [{'exercise_activity_type': 'thumb-walking pressure over each of the nine reflexes for 15 minutes per foot, totaling a 30-minutes session'}], 'four weekly reflexology sessions (each lasting 30 min)': [{'exercise_activity_type': 'thumb-walking pressure over each of the nine reflexes for 15 minutes per foot, totaling a 30-minutes session'}]}"
30552531,"['Mastery Enhancement Therapy', 'Based on self-regulation and self-efficacy theories']","['Psychological', 'Educational']",{'Mastery Enhancement Therapy': [{'delivery_method': 'structured sessions with trained therapists'}]}
30544421,"['Deep neuromuscular block (NMB) group', 'Moderate NMB group']","['Surgical', 'Physical']",{}
30538099,['finasteride'],['Drug'],{}
30531832,"['Veliparib', 'Placebo concurrent to FOLFIRI']","['Drug', 'Control']",{}
30528653,"['Prostate-only IMRT (PO): 74 Gy/37 fractions', 'Prostate and pelvic lymph node IMRT']","['Surgical', 'Surgical']",{}
30528222,"['Cabozantinib 60mg once daily orally', 'mitoxantrone 12mg/m2 every 3wk plus prednisone 5mg twice daily orally']","['Drug', 'Drug']",{}
30527787,"['visual-registration targeting', 'image-fusion software (SmartTarget)']","['Physical', 'Physical']",{}
30526533,['Accounting for continuous non-linear effects'],['None'],{}
30521075,"['Spouses coping with the Head And neck Radiation Experience (SHARE)', 'Teaches self-management', 'communication', 'coping skills', 'Compared with usual medical care (UMC)']","['educational', 'educational', 'educational', 'psychological', 'Control']",{'coping skills': [{'delivery_method': 'manual'}]}
30519577,"['Carbon dioxide laser microsurgery (CO2-LS)', 'Low-temperature plasma radiofrequency ablation (LTP-RFA)']","['Surgical', 'Surgical']","{'Carbon dioxide laser microsurgery (CO2-LS)': [{'surgical_technique': 'continuous model with a power of 6 to 16W and a spot diameter of 270μm', 'precautions': 'wet gauze strips were placed on the surface of the tracheal intubation balloon'}]}"
30506519,"['Nivolumab', 'Placebo']","['Drug', 'Control']",{}
30502933,"['Flexible sigmoidoscopy', 'Randomised to usual care or flexible sigmoidoscopy']","['surgical', 'Control']",{}
30502785,"['sunitinib', 'interferon alfa', 'axitinib', 'sorafenib']","['Drug', 'Drug', 'Drug', 'Drug']","{'sunitinib': [{'dosage': '50 mg/day', 'schedule': '4-weeks-on/2-weeks-off'}], 'interferon alfa': [{'dosage': '3–9 MU/dose thrice-weekly'}], 'axitinib': [{'dosage': '5 mg twice daily'}], 'sorafenib': [{'dosage': '400 mg twice daily'}]}"
30501974,"['Radioactive iodine (131I) ablation', 'doses: 1.1 GBq vs 3.7 GBq', 'recombinant human thyroid-stimulating hormone (rhTSH)', 'thyroid hormone withdrawal']","['Surgical', 'Drug', 'drug', 'drug']",{}
30515674,"['palbociclib-letrozole', 'placebo-letrozole']","['Drug', 'Drug']",{}
30514262,"['aspirin (100 mg/day)', 'metformin (850 mg bis in die)', 'their combination', 'placebo']","['Drug', 'Drug', 'I_Other', 'Control']","{'aspirin (100 mg/day)': [{'dosage': '1 tablet qd'}], 'metformin (850 mg bis in die)': [{'dosage': '1 tablet bid'}]}"
30513377,"['34 Gy in 1 fraction', '48 Gy in 4 fractions', 'lung stereotactic body radiation therapy']","['Surgical', 'Surgical', 'Surgical']",{}
30511433,"['single-session group makeup workshop', 'photo shooting', 'receiving professionally edited portrait and upper-body photos']","['Educational', 'I_Other', 'Educational']",{}
30509771,"['5 years of letrozole (2·5 mg orally per day)', 'Placebo']","['Drug', 'Control']",{}
30509312,"['pembrolizumab plus chemotherapy', 'atezolizumab plus chemotherapy']","['Drug', 'Drug']",{}
30508898,"['Individualized stent group: received cup and funnel covered stents', 'Funnel group: received only funnel covered stents']","['Surgical', 'Drug']",{}
30500981,"['16-week aerobic and resistance exercise program', 'Usual care']","['Physical', 'Control']","{'16-week aerobic and resistance exercise program': [{'exercise_activity_type': 'aerobic and resistance', 'duration_aerobic_sessions_start': '30 minutes (week 1)', 'duration_aerobic_sessions_end': '50 minutes (week 16)', 'HR_target_range': '65% to 80% of the maximum HR', 'duration': '12 weeks'}]}"
30488789,"['Dalteparin (low-molecular-weight heparin)', 'Rivaroxaban (a direct oral anticoagulant)']","['Drug', 'Drug']",{}
30486814,"['Tailored, nutritional counselling intervention delivered using synchronous, telephone-based approach', 'Asynchronous, mobile application-based approach']","['Educational', 'Educational']",{}
30486630,"['Inj. Cisplatin', 'EBRT', 'Chemo boost', 'Inj. Cisplatin', 'EBRT', '60 Co/LINAC photon radiation']","['Drug', 'Surgical', 'Drug', 'Drug', 'Surgical', 'Surgical']",{}
30485297,"['home-based, self-managed, moderate intensity walking intervention', 'usual care']","['Physical', 'Control']","{'home-based, self-managed, moderate intensity walking intervention': [{'exercise_activity_type': 'moderate intensity walking', 'delivery_method': 'self-managed with guidance and recommendations from an intervention booklet', 'measurement_tool': 'Yamax Digi-Walker SW-200 pedometer'}]}"
30484987,"['Care Notebook as a routine self-monitoring QOL intervention', 'shortened Care Notebook booklet']","['Educational', 'educational']",{}
30481267,"['Neoadjuvant chemotherapy', 'Perioperative chemotherapy']","['Drug', 'Drug']",{}
30463520,['Participation in a randomized controlled trial involving patient/caregiver dyads'],['Control'],{}
30460999,"['faecal occult blood test (FOBT) screening', 'biennial FOBT screening']","['Control', 'Control']",{}
30458734,['neoadjuvant treatment'],['Surgical'],{}
30458732,"['non-steroidal aromatase inhibitor', 'CDK4/6 inhibition', 'fulvestrant', 'non-steroidal aromatase inhibitor', 'fulvestrant', 'CDK4/6 inhibition']","['drug', 'drug', 'drug', 'drug', 'drug', 'drug']",{'non-steroidal aromatase inhibitor': [{'dosage': '2.5 mg once daily or 1 mg once daily'}]}
30453906,"['Culturally sensitive family-based intervention program: Families Fighting Cancer Together (FFCT)', 'Parent-only psycho-educational (PED) program']","['Educational', 'Psychological']",{'Parent-only psycho-educational (PED) program': [{'delivery_method': 'support group structure'}]}
30449719,"['carboplatin and paclitaxel', 'bevacizumab 7.5\u202fmg/kg every 3\u202fweeks']","['Drug', 'Drug']",{}
30449625,"['Radiotherapy plus cetuximab', 'Radiotherapy plus cisplatin']","['Drug', 'Drug']","{'Radiotherapy plus cetuximab': [{'dosage': 'loading dose of 400 mg/m2 5-7 days prior to radiotherapy initiation followed by 250 mg/m2 weekly for 7 doses (total 2150 mg/m2)'}], 'Radiotherapy plus cisplatin': [{'dosage': '100 mg/m2 on days 1 and 22 of radiotherapy (total 200 mg/m2)'}]}"
30449623,"['Intravenous cisplatin', 'Intravenous cetuximab']","['Drug', 'Drug']",{}
30445943,"['open gastrectomy', 'laparoscopic gastrectomy']","['Surgical', 'Surgical']","{'open gastrectomy': [{'surgical_technique': '20- to 25-cm incision from the falciform process to the periumbilical area'}], 'laparoscopic gastrectomy': [{'surgical_technique': 'one 10-mm trocar for the camera inserted below the umbilicus, three 10-mm ports in the left upper quadrants 2 cm below left lower rib margins, right and left flank areas respectively, one 5-mm trocar placed at the right upper quadrants 2 cm below right lower rib margins'}]}"
30442588,"['Lobar resection', 'Sublobar resection (59% wedge resection)']","['Surgical', 'Surgical']",{'Sublobar resection (59% wedge resection)': [{'surgical_technique': 'wedge resection or segmentectomy'}]}
30442120,['8-week intervention combining hypnosis and self-care'],['Psychological'],"{'8-week intervention combining hypnosis and self-care': [{'delivery_method': 'group sessions', 'tasks': ['adjusting self-expectation', 'reinforcing sense of self-esteem', 'revising self-narrative', 'adaptation of social roles', 'finding one’s own boundaries and personal needs', 'assertiveness', 'identifying situations and feeling of powerlessness', 'accepting that not everything is controllable', 'differentiating self from illness', 'managing ruminations']}]}"
30429032,"['Pembrolizumab 2 or 10 mg/kg Q3W', 'Carboplatin area under the serum concentration-time curve (AUC) 6 mg/mL/min', 'Paclitaxel 200 mg/m^2', 'Bevacizumab 15 mg/kg', 'Pemetrexed 500 mg/m^2']","['Drug', 'Drug', 'Drug', 'Drug', 'Drug']",{}
30426268,"['Rebamipide liquids (0, 2, and 4%) for chemoradiotherapy-induced oral mucositis', 'Placebo group']","['Drug', 'Control']",{}
30420616,"['adjuvant chemotherapy', 'CAPOX regimen', 'FOLFOX regimen']","['drug', 'Drug', 'Drug']",{'adjuvant chemotherapy': [{'dosage': '3 or 6 months'}]}
30420171,"['Weight-loss', 'Attention-control arms', 'Correct nutrient deficiencies via food sources', 'Upper-body exercises', 'Energy restriction', 'Aerobic exercise']","['Physical', 'Control', 'Physical', 'Physical', 'Physical', 'Physical']",{}
30415637,"['Marine n-3 fatty acids (1 g per day)', 'Placebo']","['Drug', 'Control']",{}
30415629,"['Vitamin D3 (cholecalciferol)', 'Placebo']","['Drug', 'Control']",{}
30415507,"['Counseling and unsupervised training for 48 weeks (unsupervised arm)', 'Counseling', 'sequential training']","['Educational', 'Educational', 'Physical']","{'sequential training': [{'exercise_activity_type': 'endurance and strength training', 'duration': '48 weeks for unsupervised arm, 24 weeks supervised followed by 24 weeks unsupervised for supervised arm'}]}"
30413519,"['smartphone-based problem-solving therapy (PST) app (Kaiketsu-App)', 'smartphone-based behavioural activation (BA) app (Genki-App)', 'treatment as usual (TAU)', 'waitlist control with TAU alone']","['Psychological', 'Psychological', 'Control', 'Control']","{'smartphone-based problem-solving therapy (PST) app (Kaiketsu-App)': [{'delivery_method': 'dialogues between characters, who explain the principles and skills of PST', 'duration_per_session': 'approximately 30 min', 'total_sessions': 9, 'minimum_completion_time': '2 weeks'}], 'smartphone-based behavioural activation (BA) app (Genki-App)': [{'delivery_method': 'automated email'}]}"
30412630,"['low molecular weight heparin enoxaparin', 'standard treatment']","['Drug', 'Control']",{'low molecular weight heparin enoxaparin': [{'dosage': '1 mg/kg as daily subcutaneous injections'}]}
30409792,['Adjuvant paclitaxel'],['Drug'],{}
30404619,"['ADAPT CP', 'ADAPT Portal']","['educational', 'educational']",{}
30400971,"['Machine supported progressive resistance training', 'Usual care']","['Physical', 'Control']","{'Machine supported progressive resistance training': [{'exercise_activity_type': 'leg press, latissimus pull-down, chest press', 'dosage': '8-12 repetitions per set, 3 sets', 'progression': '2.5 kg for upper limbs exercise, 5.0 kg for lower limbs exercise', 'sample_size': 120, 'control_group': 60, 'intervention_group': 60}]}"
30400840,"['High-intensity interval endurance training (HIIT)', 'Placebo-intervention (supervised myofascial release training)']","['Physical', 'Control']","{'High-intensity interval endurance training (HIIT)': [{'exercise_activity_type': 'stationary bicycle ergometer', 'dosage': {'frequency': '3 times per week', 'duration': ""20-25 min during the first 8 weeks, 30-35 min during the second half of patients' chemotherapy"", 'warm-up': '5 min at low-intensity (cadence at 60–70 rpm and wattage according to 57–63% of patient’s maximum heart rate)', 'high-intensive intervals': ""3 × 3 min (first 8 weeks), increased to 5 during the second half of patients' chemotherapy"", 'active rest-intervals': '90 s (cadence at 60–70 rpm and wattage according to 57–63% of HRmax)', 'cool-down': '5 min at low-intensity (cadence at 60–70 rpm and wattage according to 57–63% of Hrmax)'}}]}"
30395904,"['Chemoradiation (CRT)', 'lisinopril', 'placebo', 'All patients received concurrent chemotherapy']","['Drug', 'drug', 'control', 'Drug']","{'lisinopril': [{'dosage': '20 mg once daily for up to 3 months post RT, initially 10 mg for the first 7 days and then titrated to 20 mg'}]}"
30392115,"['Palbociclib-fulvestrant', 'Placebo-fulvestrant']","['Drug', 'Drug']",{}
30389760,"['Intraoperative cell salvage (ICS) reinfusion', 'donor blood transfusion']","['Surgical', 'Drug']","{'donor blood transfusion': [{'dosage': 'at any time, during or after surgery, for the duration of their hospital stay'}]}"
30386984,"['laparoscopy-assisted distal gastrectomy (LADG) with D2 lymphadenectomy', 'open distal gastrectomy (ODG)']","['Surgical', 'Surgical']","{'laparoscopy-assisted distal gastrectomy (LADG) with D2 lymphadenectomy': [{'surgical_technique': 'trocar placement limited to less than five, mini-laparotomy incision less than 10 cm permitted in LADG arm'}]}"
30381011,"['Transcutaneous electrical acupoint stimulation', 'Sham TEAS']","['physical', 'Control']",{}
30376857,"['OncoActive intervention group', 'Usual-care waiting-list control group', 'Pedometer', 'Computer-tailored PA advice', 'Web-based via an interactive website', 'Printed materials']","['Drug', 'Control', 'Physical', 'Physical', 'Educational', 'Educational']",{}
30376810,"['Programmed intermittent epidural bolus (PIEB) technique', 'Continuous epidural infusion (CEI) combined with patient-controlled bolus (PCEA)']","['Surgical', 'Surgical']",{}
30371895,"['Abiraterone acetate 1000-mg+ prednisone 5-mg+ADT (AAP group)', 'ADT+Placebos (Placebo group)']","['Drug', 'Control']",{}
30369600,['Advance Care Planning'],['educational'],{}
30355464,"['radiotherapy to the prostate', 'lifelong androgen deprivation therapy', 'up-front docetaxel permitted from December, 2015']","['Surgical', 'Drug', 'Drug']","{'up-front docetaxel permitted from December, 2015': [{'dosage': '75 mg/m2', 'delivery_method': 'six 3-weekly cycles with or without prednisolone 10 mg daily'}]}"
30353607,"['patented single-channel applicator', 'standard Fletcher-type applicator', 'concurrent cisplatin chemotherapy', 'external beam radiotherapy', 'HDR brachytherapy']","['Physical', 'Surgical', 'drug', 'surgical', 'surgical']",{'concurrent cisplatin chemotherapy': [{'dosage': '40 mg/m2'}]}
30353049,"['Complete Decongestive Therapy (CDT) including manual lymphatic drainage (MLD)', 'Complete Decongestive Therapy (CDT) without MLD']","['Physical', 'Physical']","{'Complete Decongestive Therapy (CDT) including manual lymphatic drainage (MLD)': [{'exercise_activity_type': ""MLD according to Földi's technique""}], 'Complete Decongestive Therapy (CDT) without MLD': [{'exercise_activity_type': 'skin care, bandaging using CobanTM 2 Lite, and guidance on physical activity'}]}"
30345030,"['transvaginal ultrasound scanning', 'quality improvement initiative in 2008']","['Surgical', 'Educational']",{'transvaginal ultrasound scanning': [{'surgical_technique': 'TVS images used to measure ovaries'}]}
30343626,['once-only flexible sigmoidoscopy (FS) screening'],['Surgical'],{}
30343455,"['Interpersonal psychotherapy (IPT)', 'Problem solving therapy (PST)', 'Brief supportive psychotherapy (BSP)']","['Psychological', 'Psychological', 'Psychological']","{'Interpersonal psychotherapy (IPT)': [{'delivery_method': 'manualized'}], 'Brief supportive psychotherapy (BSP)': [{'delivery_method': 'techniques such as clarification, suggestions, praise, reassurance, normalization, and rehearsal and anticipation to promote a supportive patient-therapist relationship, enhance the patient’s strengths and ability to use environmental supports, reduce distress and behavioral dysfunction, and maximize autonomy for the patient’s treatment decisions.'}]}"
30340503,"['16-week aerobic and resistance exercise program', 'moderate-vigorous aerobic and resistance exercise']","['Physical', 'physical']","{'16-week aerobic and resistance exercise program': [{'exercise_activity_type': 'aerobic and resistance exercise', 'dosage': '150 min of aerobic exercise and 2–3 days of resistance exercise training/week', 'delivery_method': 'supervised one-on-one exercise sessions/week', 'equipment': ['treadmill walking/running', 'rowing machine', 'stationary bicycle']}]}"
30334959,"['intravesical chemotherapy using pirarubicin (THP)', 'single immediate postoperative intravesical instillation of THP', 'THP']","['Drug', 'Drug', 'drug']","{'intravesical chemotherapy using pirarubicin (THP)': [{'dosage': '30 mg'}], 'single immediate postoperative intravesical instillation of THP': [{'dosage': '30 mg'}]}"
30325021,['6-month lycopene and green tea dietary advice or supplementation'],['Physical'],{}
30318772,['cetuximab treatment'],['Drug'],{}
30318515,"['galunisertib-gemcitabine (N=104)', 'placebo-gemcitabine (N=52)']","['Drug', 'Drug']","{'galunisertib-gemcitabine (N=104)': [{'dosage': {'galunisertib': ['80 mg/day', '160 mg/day', '300 mg/day'], 'gemcitabine': '1000 mg/m2'}}], 'placebo-gemcitabine (N=52)': [{'dosage': '1000 mg/m2', 'target_participant': '52'}]}"
30316827,"['Whole pelvic radiotherapy (WPRT) plus neoadjuvant hormonal therapy (NHT)', 'Prostate only radiotherapy (PORT) plus NHT', 'WPRT plus adjuvant hormonal therapy (AHT)', 'PORT plus AHT']","['Surgical', 'Surgical', 'Drug', 'Physical']",{}
30301829,['docetaxel or cabazitaxel treatment'],['Drug'],"{'docetaxel or cabazitaxel treatment': [{'dosage': 'docetaxel: 75 mg/m2, cabazitaxel: 25 mg/m2'}]}"
30300367,"['Finasteride', 'Placebo']","['Drug', 'Control']",{}
30298469,['gemcitabine plus cisplatin (GC) therapy'],['Drug'],"{'gemcitabine plus cisplatin (GC) therapy': [{'dosage': {'cisplatin': '25 mg/m2', 'gemcitabine': '1000 mg/m2'}}]}"
30296337,['CARE'],['educational'],{}
30291797,"['Multimedia psychoeducation (MP) intervention', 'Print education (PE) intervention']","['Psychological', 'Educational']",{'Multimedia psychoeducation (MP) intervention': [{'delivery_method': 'DVD and booklet titled Clinical Trials: Are They Right for You?'}]}
30290817,['Cisplatin-etoposide chemotherapy with a maximum of six cycles'],['Drug'],{}
30286418,"['Cochlear-sparing intensity-modulated radiotherapy (CS-IMRT)', '3-dimensional conformal radiotherapy (3DCRT)']","['Surgical', 'Surgical']",{}
30285673,"['Laparoscopic total gastrectomy (LTG)', 'Open total gastrectomy (OTG)']","['Surgical', 'Surgical']","{'Laparoscopic total gastrectomy (LTG)': [{'surgical_technique': ""endotracheal intubation under general anesthesia, peritoneal cytology examination, exploration of abdominal cavity for regional invasion or distant metastasis, total gastrectomy with D1+/D2–10 lymphadenectomy according to Japanese Gastric Cancer Treatment Guideline (Fourth edition, May. 2014), proximal margin recommendations based on tumor type, routine examination of proximal resection margin by Pathological Frozen Section, distal margin located in the duodenal bulb, digestive tract reconstruction methods determined by doctor's experience and intraoperative circumstances, Roux-en-Y reconstruction recommended with linear and circle staplers acceptable, laparoscopic operations inside abdominal cavity including perigastric devascularization, lymph node dissection, and blood vessel ligation performed using laparoscopic instruments.""}], 'Open total gastrectomy (OTG)': [{'surgical_technique': ""endotracheal intubation under general anesthesia, peritoneal cytology examination, exploration of abdominal cavity for regional invasion or distant metastasis, D2 radical gastrectomy according to Japanese Gastric Cancer Treatment Guideline (Fourth edition, May. 2014), proximal margin recommendations based on tumor type, routine examination of proximal resection margin by Pathological Frozen Section, distal margin located in the duodenal bulb, digestive tract reconstruction methods determined by doctor's experience and intraoperative circumstances, gastrectomy and digestive tract reconstruction could be completed with open approach through auxiliary incision (≤10 cm).""}]}"
30281698,"['Robotic surgery', 'Traditional laparoscopic surgery']","['Surgical', 'Surgical']",{}
30277569,"['radiotherapy (RT) for rectal cancer', 'surgery for rectal cancer']","['Surgical', 'Surgical']",{}
30269276,['bolus leucovorin'],['drug'],"{'bolus leucovorin': [{'dosage': [60, 200, 500]}]}"
30268156,"['Neoadjuvant chemotherapy', 'Surgery', 'Adjuvant chemotherapy', 'Dendritic cell intradermal vaccinations (2 courses, 4 daily doses)']","['Drug', 'Surgical', 'Drug', 'Drug']",{}
30260474,"['paclitaxel, nab-paclitaxel, ixabepilone']",['Drug'],{}
30259284,"['Education and culinary-based dietary intervention', 'Monthly nutrition and cooking workshops', 'Motivational Interviewing telephone calls', 'Individualized newsletters']","['Educational', 'Educational', 'Psychological', 'Educational']",{'Motivational Interviewing telephone calls': [{'delivery_method': 'telephone'}]}
30257655,"['Individualized Prevention Practitioner visit (PP)', 'Standard care']","['Educational', 'Control']",{}
30254071,['computed mdNLR'],['I_Other'],{}
30249191,"['Information session about the nocebo effect (nocebo-education)', 'Attention control group (ACG) with matching interaction time']","['Educational', 'Control']",{}
30248943,"['Online 12-week walking intervention', 'Steps Toward Improving Diet and Exercise among cancer survivors (STRIDE)', 'Pedometer interventions']","['Physical', 'Physical', 'Physical']","{'Online 12-week walking intervention': [{'exercise_activity_type': 'walking'}], 'Steps Toward Improving Diet and Exercise among cancer survivors (STRIDE)': [{'delivery_method': 'website', 'exercise_activity_type': 'walking', 'pedometer_use': True}], 'Pedometer interventions': [{'exercise_activity_type': 'walking', 'pedometer_use': True}]}"
30247967,"['Self-care toolkit', 'MP3 player', 'audio-files of guided mind-body techniques', 'acupressure antinausea wristbands', 'Treatment as usual (TAU)']","['physical', 'physical', 'psychological', 'physical', 'Control']",{'audio-files of guided mind-body techniques': [{'delivery_method': 'MP3 player'}]}
30243294,"['Sevoflurane-based inhalational anesthesia', 'Propofol/remifentanil-based total intravenous anesthesia (TIVA)']","['Drug', 'Drug']",{}
30241227,"['adjuvant carboplatin and paclitaxel', 'radiotherapy']","['Drug', 'Surgical']","{'radiotherapy': [{'surgical_technique': 'conformal external-beam radiotherapy', 'additional_treatment': 'weekly vaginal brachytherapy with 20 Gy in four fractions', 'alternative_treatment': 'Intensity-modulated radiation therapy'}]}"
30240146,['Anthracycline-based chemotherapy'],['Drug'],{'Anthracycline-based chemotherapy': [{'dosage': 'four cycles'}]}
30237250,"['measured CA125 using the CA125II assay', 'linear regression']","['None', 'None']",{}
30235653,"['neoadjuvant therapy', 'rectal surgery']","['Surgical', 'Surgical']",{}
30229370,"['Propofol-paravertebral anesthetic (PPA) with continuing analgesia', 'Balanced general anesthetic with opioid analgesia (GA)']","['Surgical', 'Surgical']",{}
30227890,"['optimised participant information brochure and cover letter (intervention group)', 'original participant information brochure and accompanying letter (control group)']","['Educational', 'Control']",{}
30224341,"['modified leucovorin/5-fluorouracil/oxaliplatin plus bevacizumab (mFOLFOX6-BV)', 'leucovorin/5-fluorouracil/irinotecan plus bevacizumab (FOLFIRI-BV)']","['Drug', 'Drug']","{'modified leucovorin/5-fluorouracil/oxaliplatin plus bevacizumab (mFOLFOX6-BV)': [{'dosage': 'leucovorin 400 mg/m2, oxaliplatin 85 mg/m2, 5-fluorouracil 2,400 mg/m2 over 46 hours'}], 'leucovorin/5-fluorouracil/irinotecan plus bevacizumab (FOLFIRI-BV)': [{'dosage': 'leucovorin 400 mg/m2, irinotecan 180 mg/m2, 5-fluorouracil 2,400 mg/m2 over 46 hours'}]}"
30215676,"['twice-daily doses of alectinib 600mg', 'crizotinib 250mg']","['Drug', 'Drug']",{}
30209161,['AR signaling inhibitors (ARSi)'],['Drug'],{}
30206369,"['S-1 and cisplatin (SP arm)', 'vinorelbine and cisplatin (VP arm)', 'early concurrent thoracic radiotherapy']","['Drug', 'Drug', 'surgical']",{}
30206110,"['CDK4/6 inhibition with endocrine therapy (palbociclib plus fulvestrant)', 'Placebo plus fulvestrant']","['Drug', 'Drug']",{}
30206020,['Radiotherapy (RT)'],['Surgical'],{}
30205667,"['Lung ultrasound (LUS)', 'auscultation', 'Patients randomized into group A (auscultation) and group B (LUS)']","['Surgical', 'Surgical', 'Physical']",{}
