,pmid,outcome,labels,full_text_values
10,30585257,"['overall response rate (ORR)', 'toxicity', 'survival']","['Clinical', 'Adverse Event', 'Mortality']","[['67.5%', '43.6%', '65.9%', '43.9%', '29.5%', '5.7%', '41.7%', '0', 'p = 0.003'], ['diarrhoea (2.5% versus 7.7%); asthenia (5% versus 5.1%); leukopenia (7.5% versus 2.6%); neutropenia (15% versus 20.5%); Febrile neutropenia was observed in 2 patients in each arm (5% versus 5.1%); No differences were observed in serious adverse events (22.5% versus 20.5%), dose reduction (22.5% versus 28.2%), or prophylactic use of G-CSF (17.5% versus 12.8%) irrespectively of irinotecan dose.'], [""{'median PFS experimental group': '8.6 months', 'median PFS control group': '8.2 months', 'median OS experimental group': '26 months', 'median OS control group': '17.6 months', 'p-value for PFS comparison': '0.46', 'HR for PFS comparison': '0.84', '95% CI for HR of PFS comparison': '[0.52�1.35]', 'p-value for OS comparison': '0.74', 'HR for OS comparison': '0.90', '95% CI for HR of OS comparison': '[0.49�1.67]'}"", ""{'PFS (wild-type RAS/BRAF)': '9.8 months', 'OS (wild-type RAS/BRAF)': '29 months', 'PFS (RAS-mutated)': '8.5 months', 'OS (RAS-mutated)': '14 months', 'PFS (BRAF-mutated)': '8.3 months', 'OS (BRAF-mutated)': '22 months'}"", 'significant association between metastatic resection with both PFS and OS', 'BRAF- and RAS-mutated tumours had a shorter PFS and OS than wild-type tumours']]"
11,30584782,"['Health-related quality of life (HRQOL)', 'Physical function', 'Emotional functioning', 'Insomnia', 'Financial problems', 'Role functioning', 'Cognitive functioning', 'Social functioning', 'Fatigue']","['Life impact', 'Life impact', 'Life impact', 'Clinical', 'Life impact', 'Life impact', 'Life impact', 'Life impact', 'Clinical']","[[], ['increase of about 10%', 'significantly superior to AT compared only at T1 (P = .007, SES = 0.679)', 'significant superiority of MT over AT', 'P < .05', 'Expected increase: AT 89%, MT 91%, CT 96%'], ['clinical deterioration (ie, a decrease in mean values of 10% or more compared with baseline) at T2', 'significant superiority of MT over AT', 'P < .05', 'Expected improvement: AT 94%, MT 91%, CT 86%'], ['clinically relevant improvements over the baseline (ie, a decrease in mean values of 10% or more) at T1 and T2', 'significant superiority of MT over AT', 'P < .05'], ['Equivalent (and for insomnia even higher) clinical improvements of symptomatology were observed in the MT arm and additionally in pain; clinically relevant improvement in symptom scales in the AT group was observed only in fatigue at T1 and insomnia at T2, while a relevant deterioration (ie, an increase in symptom mean values of 10% or more) was detected at T2', 'significant superiority of MT over AT', 'P < .05'], ['smaller, but partially clinically still relevant, increases', 'significantly better for MT than AT', 'P < .05'], ['increase in mean values', 'clinically relevant improvement at T1', 'significantly better for MT than AT', 'P < .05'], ['increase in mean values', 'clinically relevant improvement at T1 and T2', 'significantly better for MT than AT', 'P < .05', 'Expected to cope more effectively with everyday life: AT 94%, MT 97%, CT 92%; work life: AT 83%, MT 58%, CT 60%; illness: AT 75%, MT 82%, CT 78%'], ['CMH P = .020', 'clinically relevant improvements over the baseline (ie, a decrease in mean values of 10% or more) at T1 and T2', 'significantly better for MT than AT', 'P < .05']]"
12,30583518,"['metabolite differences', '26 significantly different metabolites when compared to the control group', 'navy bean-derived metabolites', 'stool relative abundance', 'metabolic pathways']","['Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical']","[['26 significantly different metabolites when compared to the control group', 'N2,N6-diacetyllysine (3.17 fold difference)', 'nobiletin (1.48 fold difference)', 'ophthalmate (3.49 fold difference)', '2-aminoadipate (2.69 fold difference)', 'gamma-glutamylglutamine (2.60 fold difference)', 'guanosine 5'- monophosphate (5'-GMP) (1.07 fold difference)', 'formiminoglutamate (0.11 fold difference)', '3-methyl-2-oxobutyrate (0.41 fold difference)', 'glycocholenate sulfate (0.10 fold difference)', 'N-acetylisoleucine (0.15 fold difference)', 'valerylglycine (0.13 fold difference)', '4-methyl-2-oxopentanoate (0.41 fold difference)', '3-methyl-2-oxovalerate (0.37 fold difference)', 'malate (0.39 fold difference)', '1-myristoylglycerol (0.31 fold difference)', '5-oxoproline (0.23 fold difference)', 'vanillin (0.51 fold difference)', 'undecanoate (0.50 fold difference)', 'allantoin (0.11 fold difference)', 'caprylate (0.1 fold difference)', 'salicylate (0.77 fold difference)', '367 metabolites that have overlap between the food and stool'], [], ['560', 'anacardic acid (9.38 fold change)', '4-hydroxyphenylacetate (4.51 fold change)', 'cadaverine (3.20- fold change)', 'diacetylchitobiose (3.42 fold change)', '5,6 dihydrothymine (1.69 fold change)', 'ophthalmate (5.25 fold change)', 'piperidine (2.59 fold change)', 'adenosine-2', 3'-cyclic monophosphate (1.31 fold change)', 'N-methylpipecolate (1.57 fold change)', 'phenylacetylglglutamine (0.09 fold change)', '2-(4-hyroxyphenyl) propionate (0.03 fold change)', 'glycocholenate sulfate (0.08 fold change)', 'guanidinoacetate (0.07 fold change)', 'caprylate (0.31 fold change)', 'glutamate (0.82 fold change)', 'creatine (0.10 fold change)', 'N-acetylmethioninie sulfoxide (0.43 fold change)', 'scyllo-inositol (0.52 fold change)', '2-aminooctanoate (0.68 fold change)', 'ophthalmate', '2-aminoadipate', 'gamma-glutamylglutamine', 'guanosine 5'- monophosphate (5'-GMP)', 'N-acetylisoleucine', 'valerylglycine', '4-methyl-2-oxopentanoate', '3-methyl-2-oxovalerate', 'malate', '1-myristoylglycerol', '5-oxoproline', 'vanillin', 'undecanoate', 'allantoin', 'caprylate', 'norophthalmate', 'S-methylglutathione', 'histidine', '3-methylhistidine', '4-imidazoleacetate', 'histamine', 'imidazole lactate', 'trans-urocanate', 'imidazole propionate', '8 metabolites are navy bean-derived (i.e., N2-acetyllysine, N6-acetyllysine, lysine, pipecolate, glutarate, saccharopine, 2-aminoadipate and N6-carboxyethyllysine)'], ['mean fold change over time', 'scaled relative abundance of each metabolite for all participants', 'presented as the mean fold difference between the groups', '782 named biochemicals that are provided in Supplementary Table S2'], ['164 lipids', '144 amino acids', '31 cofactors and vitamins', '43 carbohydrates', '11 energy metabolites', '54 nucleotides', '31 peptides', '82 other phytochemicals', 'phenylalanine and tyrosine metabolism (acetylated peptides) (14.2 PES)', 'creatine metabolism (14.2 PES)', 'glutathione metabolism (7.1 PES)', 'glutamate metabolism (2.69 PES)', 'fatty acid, amino (14.2 PES)', 'glycerolipid metabolism (9.0 PES)', 'inositol metabolism (7.1 PES) and medium chain fatty acids (2.99 PES)', 'tetrahydrobiopterin metabolism (28.4 PES)', 'ascorbate and aldareate metabolism (5.39 PES)', 'tocopherol metabolism (2.69 PES)', 'benzoate metabolism (4.14 PES)', 'amino sugar metabolism (2.99 PES)', 'pyrimidine (thymine containing) (5.39 PES)', 'glutathione metabolism (12.5 PES)', 'leucine, isoleucine and valine metabolism (4.5 PES)', 'histidine metabolism (3.9 PES)', 'lysine metabolism (2.97 PES)', 'medium chain fatty acid (5.24 PES)', 'fatty acid metabolism (acyl glycine) (4.2 PES)', 'pyrimidine metabolism, (thymine containing) (4.75 PES)', 'purine metabolism, and (hypo) xanthine/inosine (2.97 PES)', 'Lysine metabolism impacted by navy beans with 16 metabolites in the pathway']]"
13,30580675,"['sexual outcomes', 'relationship outcomes', 'psychosocial outcomes']","['Life impact', 'Life impact', 'Life impact']","[['IE: M=30.0, SD=2.3; LHT: M=25.5, SD=4.7; t(52) = -3.87, p=.001', 'large effects', 'increase in sexual communication', 'large effect for an increase in sexual function', 'medium effects for increases in sexual satisfaction and self-efficacy', 'small effects for an increase in sexual communication'], ['medium to large effect (sexual communication)', 'no effect (emotional intimacy)', 'small to medium effect (reduction in relationship quality)', 'small effects for an increase in relationship quality', 'small to medium effect for a reduction in emotional intimacy'], ['small effect (reduction in body image distress)', 'small to medium effect (reduction in cancer-related distress)', 'medium to large effect (reduction in depressive symptoms)', 'large effect (reduction in anxiety symptoms)', 'small effect for a reduction in cancer-related distress']]"
14,30580268,"['anaerobic threshold', 'peak oxygen uptake', 'work rate', 'Insulin resistance', 'Quality of life', 'Chemotherapy-related toxicity and completion', 'Nutritional assessment', 'Postoperative complication rate', 'Length of stay', 'Overall mortality']","['Clinical', 'Clinical', 'Clinical', 'Clinical', 'Life impact', 'Adverse Event', 'Clinical', 'Adverse Event', 'Resource use', 'Mortality']","[['improvement in baseline cardiopulmonary function as assessed by anaerobic threshold during CPX testing'], [], [], [], [], [], [], [], [], []]"
15,30578205,"['Time spent for education', 'Compliance to medication', 'Physical side effects', 'Psychological side effects including quality of life (QoL)', 'Depression and anxiety scales']","['Life impact', 'Life impact', 'Adverse Event', 'Life impact', 'Life impact']","[['22.2 minutes (SD 6.1)'], ['61%', '7.6 (K-MARS score, SD 0.7)'], ['nausea (P=.02)', 'fatigue (P=.02)', 'numbness in the hand or foot (P=.02)', 'hair loss (P=.01)'], ['94.7% completion rate', '67% fun', '56% difficult to use', 'higher QoL in game group compared to control group (P=.01)', 'higher decrease in psychological health in game group'], []]"
16,30575560,"['decrease in VEGFR1+ MDSC clustering assessed by immunohistochemistry (IHC) analysis', 'time to biochemical recurrence (TTBR)', 'safety', 'feasibility']","['Clinical', 'Clinical', 'Adverse Event', 'Resource use']","[['no difference in the VEGFR1+ clustering between the treatment arms (p = .345)'], [], ['Pazopanib was safe and well tolerated without any new safety signals.', 'Neoadjuvant therapy with pazopanib was well tolerated, and surgical complications were similar in both arms.'], []]"
17,30572939,"['5-year disease-free survival (DFS) rates', '5-year overall survival (OS) rates', '5-year cumulative rates of local recurrence', '5-year cumulative rates of distant metastasis']","['Mortality', 'Mortality', 'Clinical', 'Mortality']","[['85.2% vs. 84.3%', 'P = 0.969', 'comparable'], ['83.5% vs. 86.5%', 'P = 0.719', 'comparable'], [], []]"
18,30572473,"['Symptoms severity', 'Appetite', 'MD Anderson Symptom Inventory (MDASI) score', 'Karnofsky score', 'Adverse events']","['Clinical', 'Clinical', 'Clinical', 'Life impact', 'Adverse Event']","[['nausea (P = .02)', 'vomiting (P = .04)'], ['improvement (P = .02)'], ['(P = .18)'], [], ['no significant differences of all adverse events were detected between 2 groups']]"
19,30568294,"['Objective response rate (ORR)', 'Progression-free survival', 'Overall survival', 'Safety outcomes', 'Immunogenicity']","['Clinical', 'Clinical', 'Mortality', 'Adverse Event', 'Clinical']","[['62.5% (95% CI: 57.2�67.6%) in PF-05280014 group', '66.5% (95% CI: 61.3�71.4%) in trastuzumab-EU group'], ['54% (95% CI: 48�60%)', '51% (95% CI: 45�57%)', '12.16 (95% CI: 11.93�12.48) months', '12.06 (95% CI: 11.79�not estimable) months', 'HR for PFS was 1.00 (95% CI: 0.80�1.26)', 'one-sided P-value of 0.505'], ['89.31% (95% CI: 85.48�92.17%)', '87.36% (95% CI: 83.27�90.51%)', 'HR for overall survival was 1.004 (95% CI: 0.655�1.539; log-rank P = 0.507'], ['337 [96.6%] patients in the PF-05280014 group and 339 [96.0%] patients in the trastuzumab-EU group experienced one or more TEAE', 'Incidence for all categories of TEAEs and serious TEAEs was similar across treatment groups', 'Alopecia, anaemia, neutropenia and peripheral sensory neuropathy were the most frequently reported TEAEs (? 20% of patients in either group)', '249 (34.5%) patients with a TEAE reported at Grade 3 or higher, with a similar incidence across treatment groups', 'Neutropenia was the most frequently reported TEAE of Grade 3 or higher in both PF-05280014 and trastuzumab-EU groups', 'At least one SAE: PF-05280014 group - 70 (20.1%), trastuzumab-EU group - 73 (20.7%); deaths due to MBC: PF-05280014 group - 38 (10.9%), trastuzumab-EU group - 32 (9.1%)', 'TEAE of IRR was reported for 34 (9.7%) patients in the PF-05280014 group and 30 (8.5%) patients in the trastuzumab-EU group.', 'Signs and symptoms of IRRs were collected...and were reported for 31 (8.9%) and 27 (7.6%) patients.', 'The most frequently reported signs and symptoms were chills (13 [3.7%] vs. 13 [3.7%] patients) and pyrexia (13 [3.7%] vs. 8 [2.3%] patients).', 'Decreased ejection fraction: PF-05280014 group - 35 (10.0%) patients, trastuzumab-EU group - 39 (11.0%); Grade 3 or higher events: PF-05280014 group - four (1.1%), trastuzumab-EU group - five (1.4%); TEAE of cardiac failure: PF-05280014 group - five (1.4%) patients, trastuzumab-EU group - seven (2.0%) patients; Grade 3 events in trastuzumab-EU group - two, Grade 5 events in trastuzumab-EU group - two; acute cardiac failure (Grade 5) and congestive heart failure (Grade 2; persistent) reported in trastuzumab-EU group', 'No clinically significant differences in laboratory values or electrocardiogram results were observed between the two treatment groups.'], ['percent change from baseline in serum soluble HER2 ECD concentrations']]"
20,30564933,"['adoption rate (31%)', 'implementation rate (72%)', 'innovation-related determinants', 'user-related determinants']","['Life impact', 'Resource use', 'Clinical', 'Clinical']","[['31%'], ['not mentioned in this chunk', '59%'], ['uncertainty about reimbursement of Oncokompas', 'waiting for ongoing research on cost-effectiveness', 'forgetting to register the patient in Oncokompas (39%)', 'Oncokompas was offered by somebody else in their organization (15%)', 'procedural clarity (lower among non-implementers, r = 0.54, p < .001)', 'complexity of Oncokompas (non-implementers found it more complex than implementers, r = 0.40, p = .002)'], ['not yet suitable for their patient group, which consisted mainly of patients in palliative care', 'lack of digital skills among elderly patients (70+)', 'importance of outcome expectations (lower among non-implementers, r = 0.46, p < .001)', 'professional obligation (lower among non-implementers, r = 0.52, p < .001)', 'social support (lower among non-implementers, r = 0.46, p < .001)', 'self-efficacy (lower among non-implementers, r = 0.44, p < .001)']]"
21,30563829,"['Tumor mTORC1 inhibition (decreased rpS6 phosphorylation)', 'Reduction of surgery-induced T-cell exhaustion', 'Decrease in dysfunctional PD-1-expressing T cells', 'Pharmacodynamic activity in bladder tissues', 'Immune modulating activity', 'Wound complications as adverse event']","['Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Adverse Event']","[['14% decrease in rapamycin-treated patients', '2-fold increase in rapamycin tissue concentrations over whole blood concentrations'], ['Increase in the proportion of circulating T cells expressing markers of exhaustion (PD-1, Tim-3, and Lag-3) following surgery (>25-50% for CD4+ and CD8+ T cells)', 'significantly fewer circulating PD-1+ CD4+ and CD8+ T cells', 'surgery resulted in an increase in percentage of T cells expressing the exhaustion markers PD-1, TIM-3, and LAG-3'], ['fewer tumor-infiltrating PD-1+CD8+ T cells on cystectomy tissue compared to matched biopsy specimens (P=0.047)'], ['Rapamycin concentrations were non-significantly higher among patients experiencing wound separation compared to patients without wound separation (9.74 ng/mL versus 6.50 ng/mL, P=0.27)', '64% increase in control patients', '14% decrease in rapamycin-treated patients', 'mean blood and bladder rapamycin concentrations: 9.1 ng/mL (range, 3.5-13.3 ng/mL) and 17.2 (range, 7.8-42.2 ng/g)', 'rapamycin PD effect was observed in some patients, even at relatively low blood concentrations (<10 ng/mL)'], ['Correlations were observed between PD effect of rapamycin and whole blood (r=?0.77, P=0.01) and tissue (r=?0.82, P=0.01) rapamycin concentrations', 'Rapamycin had no significant effects on circulating T cells.', 'surgery dampens tumor-specific immunity'], ['36% vs. 0%, respectively; P=0.09']]"
22,30558053,"['Progression-free survival (PFS)', 'Overall survival (OS)', 'Disease control rate', 'Overall remission rate', 'Treatment-related adverse events']","['Mortality', 'Mortality', 'Clinical', 'Clinical', 'Adverse Event']","[['2.0 months; 95% CI, 1.78�2.22 vs 1.1 months; 95% CI, 0.88�1.32; P < .001; HR, 3.88; 95% CI, 1.91�7.88; P < .001', 'poor for advanced colorectal cancer patients with more than 2 sites'], ['5.0 months; 95% CI, 2.80�7.21 vs 4.0 months; 95% CI, 2.77�5.23; P = .722; HR, 1.03; 95% CI, 0.56�1.90; P = .914', 'associated with high ECOG scores, right-side colon cancer, and lymph node metastasis'], ['70.4% vs 26.9%', 'P = .002'], [], ['hypertension (7/27, 25.9%)', 'proteinuria (6/27, 22.2%)', 'hand-foot skin syndrome (5/27, 18.5%)', 'decrease in neutropenia (5/27, 18.5%)', 'abnormal liver function (5/27, 18.5%)', 'nausea and vomiting (3/27, 11.1%)', 'grade 3/4 toxicities: hypertension (14.8%, 4/27) and hand-foot skin syndrome (11.1%, 3/27)']]"
23,30554073,"['overall survival (OS)', 'response rate', 'single-nucleotide polymorphisms (SNPs) of CCL5 and CCR5 genes']","['Mortality', 'Clinical', 'Clinical']","[['29.7 months (evaluation cohort)', '24.8 months (control cohort)', '19.9 vs. 33.4 months', 'HR 1.56, 95% CI: 1.05�2.30, P=0.024', 'shorter OS compared to A/A variant', 'Significant differences in OS were observed among the three categories', 'P<0.001'], ['68 vs. 81%', 'P=0.078', 'poor tumor response', 'unfavorable for left-sided tumors', 'Significant differences in tumor response were observed among the three categories'], ['CCL5 rs2280789 G allele', 'CCR5 rs1799988 T/T variant favorable in right-sided tumors', 'CCR5 rs1799988 T allele unfavorable in left-sided tumors']]"
24,30552595,"['symptom-related use of health services', 'work-related productivity', 'Conventional Health Service and Productivity Costs Form', 'Health and Work Performance Questionnaire', 'hospital visits', 'relative absenteeism', 'absolute presenteeism']","['Life impact', 'Life impact', 'Resource use', 'Life impact', 'Resource use', 'Life impact', 'Life impact']","[[], [], [], [], ['26% versus 40%, p = 0.050', 'OR=0.49; 95% CI [0.25, 0.97] (weighted/unadjusted), OR=0.35; 95% CI [0.16, 0.75] (unweighted/adjusted), OR=0.30; 95%CI [0.13, 0.66] (weighted/adjusted)'], ['control group patients had higher absenteeism (less productive)', '-0.32; 95% CI [-0.60, -0.03]'], ['control group patients had lower absolute presenteeism (less productive)', '15.42; 95% CI [0.87, 29.98]']]"
