Pmid,Age,Sex,Condition,Samplesize,Eligibility,Unnamed: 6
30500981,['Adults'],['female'eale'],['breast cancer'],['The sample size of patients under study is 100 participants.'],"[ ""Eligible participants: <6 months posttreatment for chemotherapy or radiotherapy for stage 0 to III breast cancer, nonsmokers, sedentary (<60 minutes of structured exercise/week), body mass index \u226525.0 kg/m2 (or body fat >30%), waist circumference >88 cm, self-identified as Hispanic or non-Hispanic."",             ""The eligibility criteria for the population under study include women who self-referred via study brochures available in English and Spanish, recruited during routine medical oncology clinic visits at specified locations between August 1, 2012, and December 31, 2016. Participants provided signed informed consent and were randomized to exercise or usual care after completing baseline testing using concealed randomization lists.""]",
30488789,['64 [8.7] years'],['female'],['Cancer'],['37 participants.'],,
30486814,['not specified'],['Asian'],['upper gastrointestinal cancers'],['125 patients'],"[""The eligibility of the population under study includes participants from both arms of the randomized controlled trial, excluding control group participants. Additionally, surgeons, oncologists, radiation oncologists, and hospital-based dietitians are invited to participate.""]",
30486630,['1-20 years'],,"['squamous cell carcinoma of the larynx', None]","['64 patients', None]","[""64 patients with squamous cell carcinoma of head and neck"",             ""The eligibility criteria for the population under study include being dependents with histologically proven squamous cell carcinoma, Karnofsky Performance Status greater than 70, complete hemogram with Hb > 8 gm/dL, TLC > 4000/cmm, platelet count > 100,000/cmm, renal function tests with blood urea < 40 mg/dL and serum creatinine < 1.5 mg/dL, liver function tests with SGOT < 35 IU/L and SGPT < 40 IU/L, AJCC stage non-metastatic carcinoma of larynx. Excluded are patients with distant metastases, prior radiation, surgery or chemotherapy for the disease, poor general condition with Karnofsky Performance Status of <70, pregnant or lactating patients, associated medical conditions such as renal disease, heart disease, primary thyroid/salivary glands, and histopathology other than squamous cell carcinoma.""]",
30485297,['>=18 years'],['female and male'],['breast cancer'],['The sample size of patients under study is 25 in both groups'],"[""Women aged between 18 and 75 years with a primary diagnosis of stage I to III breast cancer, waiting to begin chemotherapy, able to read and speak English, able to walk unassisted, and relatively inactive (<30min a day, 5 times a week of moderate intensity walking) were eligible for the study."",]",
30484987,['20 years or more'],,"['cancer', 'advanced cancer']",['200'],,
30481267,['18-69 years'],['female'],"['Gastroesophageal cancer', 'gastroesophageal cancer']",['n = 503'],['operable'],
30463520,['no update'],['male'],['cancer (excluding non-melanoma skin cancer)'],['737'],"[""Eligible population: Patients newly diagnosed with a primary cancer, approximately 2-months post-diagnosis, attending cycles 2\u20135 of adjuvant chemotherapy and/or fraction 2\u201310 for radiotherapy, receiving treatment with curative intent. Caregivers must have English proficiency, no cognitive dysfunction, patient has a caregiver, and both patient and nominated caregiver are >18 years old.""]",
30460999,['not specified'],"['male', 'female']",['colorectal cancer'],,"[            ""60-69-year-old individuals living in municipalities participating in the organized CRC screening programme.""]",
30458734,['mean age 64 years'],['male and female'],"['rectal cancer', 'elevated CEA levels']",['71'],"[""71 patients were included in the training cohort.""]",
30458732,['45–60 years'],,['advanced breast cancer'],['500 patients per arm'],"[['HR+ (hormone receptor positive)', 'HER2-negative']]",
30453906,['12-18 years old'],"['African American', 'children']",['solid tumor cancers'],['N = 172 families'],['African American adults'],
30449719,['18-95 years'],['female'],"['newly diagnosed ovarian cancer', 'ovarian cancer']","['163 patients with stage II disease, 1045 patients with stage III disease.']","[['stage IIB-IV', 'high-risk (grade 3/clear-cell)', 'stage I-IIA']]",
30449625,['58 years'],,"['oropharyngeal squamous cell carcinoma', 'cancer', 'cancer', 'Adequate bone marrow, hepatic, and renal function']",['800 randomized and eligible'],[['HPV-positive']],
30449623,['57 years'],,['HPV-positive low-risk oropharyngeal cancer'],['304'],"[['non-smokers', 'lifetime smokers with a smoking history of <10 pack-years']]",
30445943,['≥70 years'],['male'],['local advanced gastric cancer'],['164'],"[""Adult ambulatory patients aged 70 and above, with Karnofsky Performance Status (KPS) \u2265 70, histology proved gastric cancer, cT2-4aNanyM0 (UICC TNM staging 7th edition), and no prior cancer treatment."",]",
30442588,['not mentioned'],['adult patients'],['peripheral non-small-cell lung cancer'],['692'],"[""Eligible patients were pre-registered (but not randomized) to the trial using a web-based system. Randomization occurred intra-operatively after confirmation of eligibility criteria, which included diagnosis of NSCLC and absence of metastatic disease in three nodal stations by frozen section examination. Once eligibility was confirmed, patients were randomized to either LR or SLR. The choice of type of SLR (wedge resection or segmentectomy) and surgical approach (thoracotomy versus VATS or RATS) was left to the discretion of the surgeon. Surgeons planning to perform VATS or RATS required credentialing; those not previously credentialed had to have performed at least 10 VATS or RATS lobectomies within the prior 12 months and submit three operative and pathology reports for central review.""]",
30442120,['18 years or older'],,['cancer'],['The sample size of patients under study is eight participants.'],"[""18 years or older"",             ""The eligibility criterion for the population under study is a diagnosis of non-metastatic cancer with all tumor localizations accepted. Metastatic patients were excluded to minimize baseline differences in the sample and facilitate comparison between non-metastatic and metastatic cases."",             ""The eligibility criterion for the population under study is having completed all active treatments within less than a year (surgery, chemotherapy, and/or radiotherapy). This selection aims to form a group of participants who were recently involved in diagnosis and treatments, increasing the likelihood that the difficulties they are dealing with will be more similar.""]",
30429032,['≥18 years'],['female and male'],['advanced NSCLC'],['74 patients'],"[['previously untreated', 'without EGFR/ALK aberrations']]",
30426268,['18-65 years'],['male and female'],"['head and neck cancer', None]","['n = 31, n = 31, n = 32']","[""Eligibility: Patients with histopathological diagnosis of primary tumor scheduled to undergo definitive or postoperative CRT to head and/or neck.""]",
30420616,['no specific range provided'],['male'],['colorectal cancer'],['6088 patients'],,
30420171,['61-120 years'],['female'],['early-stage breast cancer (0 to II)'],['32'],"[""Eligibility criteria included BMI \u2265 25 kg/m2, at least three weeks lag time until surgery, no neoadjuvant treatment or conditions that would affect weight status, and not currently participating in a weight-loss program.""]",
30415637,['67.1 years'],"['male', 'female']",['cancer'],"['n=16,956']","[""25,871 men aged \u226550 and women aged \u226555, including 5,106 African Americans"",             ""n=16,956 of 25,871 [66%]""]",
30415629,['67.1 years'],"['male', 'female']",['cancer'],,"[""25,871 men aged \u226550 and women aged \u226555"",             ""16,956 out of 25,871 participants were randomized (65.5%).""]",
30415507,,['female'],['estrogen receptor-positive breast cancer'],['not specified'],[['postmenopausal']],
30413519,['20-49 years'],['male and female'],"['breast cancer', 'fear of cancer recurrence']",['30 subjects'],"[""30 subjects willing to participate in this additional survey""]",
30412630,['18 years or older'],['male and female'],['small cell lung cancer (SCLC)'],['The sample size of patients under study is 292.'],"[""The eligibility criteria for the population under study include newly diagnosed SCLC of all stages, WHO performance status 0 to 3, and standard coagulation parameters within normal ranges. Patients were randomized into a control arm receiving standard treatment or an intervention arm receiving standard treatment with LMWH enoxaparin given at 1 mg/kg as daily subcutaneous injections starting on day 1 of chemotherapy and continued throughout the duration of the chemotherapy regimen. Standard therapy included a platinum compound and a topoisomerase inhibitor administered for 4\u20136 cycles according to local guidelines, with radiotherapy given depending on disease extent and response to chemotherapy, following local protocols. Written, informed consent was obtained from all study participants, and the study was carried out according to ICH/GCP guidelines, in agreement with the Helsinki declaration, with approval from the regional ethics committee at Lund University, Sweden.""]",
30409792,"['65 years and above', '55-64 years', 'younger than 55 years']",['female'],[' breast cancer'],"['1,881 patients']","[""65 years of age or older, 55-64 years of age, <55 years of age""]",
30404619,['not specified'],['female'],['cancer'],['5568'],"[""12 cancer services, stratified by size (large \u2265100 new pts./year vs small < 100 new pts./year)"",             ""100 patients per year in NSW Australia"",             ""The eligibility criteria for the population under study include all permanent or ongoing (6 months or more) staff employed full-time, part-time, or as visiting medical officers in roles providing clinical care to cancer patients or client-focused administrative support or IT/managerial support. Site champions will identify and approach eligible staff, explaining the study, after which interested staff will be contacted by the research team for written information sheets and consent forms.""]",
30400971,['≥ 18 years'],['female and male'],['head and neck cancer'],['120'],['cachectic'],
30400840,['not specified'],['female'],"['breast cancer', 'breast cancer']",['The sample size of patients under study is 136.'],"[""The eligibility criteria for the population under study include having an initial diagnosis of mammary carcinoma stage I-IIIA, being scheduled for chemotherapy, and not fulfilling any of the listed exclusion criteria in Table 2. Patients must also provide written informed consent after receiving detailed descriptions of the study and sufficient time to ask questions."",             ""The eligibility of the population under study is individuals aged 16 years or older.""]",
30395904,['63.5 years'],['male'],"['locally advanced lung cancer', 'smoking-related disease']",['50 patients'],"[""Eligible patients were those receiving thoracic RT (\u226545 Gy) for predominantly non\u2013small cell lung cancers, with an Eastern Cooperative Oncology Group performance score of 2 or better. Age was considered as a stratification factor (<70 years vs \u226570 years), and all patients had to be at least 18 years old with histologic confirmation of non\u2013small cell carcinoma of the lung."",             ""The eligibility criteria for the population under study include: absolute neutrophil count \u22651,500/mm3, platelet count \u2265100,000/mm3, hemoglobin \u22659.0 g/dL, creatinine clearance \u226530 mL/min by Cockcroft-Gault formula, reference potassium and sodium values, systolic blood pressure >100 mm Hg, diastolic blood pressure >60 mm Hg, negative pregnancy test for women of childbearing age, and ability to complete PRO questionnaires either alone or with assistance.""]",
30392115,['not specified'],"['female', 'Japanese']","[None, 'HR+/HER2- metastatic breast cancer (MBC)']",['N = 521'],"[['premenopausal', 'peri-menopausal', 'postmenopausal']]",
30389760,['18 years and older'],['female'],['primary or interval ovarian cancer'],['60'],"[""Eligibility: women undergoing cytoreductive surgery for ovarian cancer. Sample size: sixty participants."",             ""Eligibility: Patients scheduled for surgery for ovarian cancer, identified from gynaecological oncology outpatient clinic attendees referred by general practitioners under 2-week wait cancer pathway. Some patients will undergo neoadjuvant chemotherapy prior to interval debulking surgery and may be recruited later after chemotherapy. Written informed consent obtained in line with ICH Good Clinical Practice guidelines."",             ""18 years old or over"",             ""20 women"",             ""The eligibility of the population under study includes women aged between 50 and 80 years who have experienced a cancer diagnosis and are living in Cornwall, with one exception being formerly from Gateshead.""]",
30386984,,['female'],"['locally advanced gastric cancer', 'cancer']",['220'],"[""18 years old and older, primary gastric adenocarcinoma confirmed by endoscopic biopsy, tumor in lower stomach resectable by subtotal gastrectomy and D2 lymph node dissection, preoperative cancer stage cT2-4aN0-3M0, ECOG performance status 0 or 1, ASA classes I, II, or III, signed informed consent."",             ""1:1 allocation ratio""]",
30381011,['more than 18 years'],,['non-small cell lung cancer (NSCLC)'],['66'],"[""The eligibility criteria for the population under study include: age more than 18 years, American Society of Anesthesiology physical status classification grade I or II, sufficient cognitive function and language skills, and consent provided. Exclusion criteria are painful conditions, major organ system diseases, hypersensitivity to medications, pacemaker fitted, analgesic drug use or significant abuse history, acupuncture point stimulation or experience with acupuncture electrodes, infected target acupoint site, previous thoracotomy, uncontrolled hypertension, diabetes, epilepsy history, pregnancy, lactation, childbearing potential, and enrollment in other clinical trials."",             ""Eligible participants: 10 per block"",]",
30376857,['66.5 years'],['male'],['Prostate and colorectal cancer'],['428'],"["">=18 years, colorectal or prostate cancer diagnosis, undergoing treatment with curative intent or completed primary treatment up to one year ago, at least 6 weeks post-surgery, no severe medical, psychiatric or cognitive illness, proficient Dutch reading and speaking skills.""]",
30376810,['18-80 years'],['female'],['major abdominal cancer'],['The sample size of patients under study is 110.'],,
30371895,['51-82 years'],['Japanese men'],['metastatic hormone-na?ve prostate cancer (mHNPC)'],['235 sites in 34 countries'],"[['having ?2 of 3 high-risk factors', 'Gleason score ?8', '?3 bone lesions or measurable visceral metastases']]",
